14289|<O>|1596173287
14290|<O>|1596173288
14291|<O>|1596173289
14292|<O>|1596173290
14293|<O>|1596173291
14294|<O>|1596173292
14295|<O>|1596173293
14296|<O>|已解锁特长：\n{0}
14297|<O>|可解锁特长：\n{0}
14298|<O>|我今天就是饿死，死外边，从这里跳下去，也不会回去的！
14299|<O>|购买游戏以继续
14300|<O>|渠道号：
14301|<O>|暂别赛场\n暂无记录
14302|<O>|正在激活，请稍后...
14303|<O>|花式夸奖
14304|<O>|是金子总会发光的，你的出色表现引起了职业赛场的注意。现在，有两家俱乐部想要跟你签约，在人生的分水岭上，请做出选择吧……
14305|<O>|游戏技术
14306|<O>|其他特长
14307|<O>|未翻譯
14308|<O>|录取几率:{0}
14309|<O>|起源
14310|<O>|排行榜
14311|<O>|1596173618
14312|<O>|1596173619
14313|<O>|1596173620
14314|<O>|1596173621
14315|<O>|1596173622
14316|<O>|1596173623
14317|<O>|1596173624
14318|<O>|1596173625
14319|<O>|1596173626
14320|<O>|1596173627
14321|<O>|1596173628
14322|<O>|1596173629
14323|<O>|1596173630
14324|<O>|1596173631
14325|<O>|1596173632
14326|<O>|1596173633
14327|<O>|1596173634
14328|<O>|1596173635
14329|<O>|1596173636
14330|<O>|1596173637
14331|<O>|1596173638
14332|<O>|1596173639
14333|<O>|1596173640
14334|<O>|1596173641
14335|<O>|1596173642
14336|<O>|1596173643
14337|<O>|当前渠道：
