14199|<O>|（ 点击屏幕上的战术灵感，克敌制胜 ）
14200|<O>|name
14201|<O>|传家宝name备用字段
14202|<O>|我数学成绩那么好，智商那么高，全靠数学属性传家宝保佑。
14203|<O>|提琴怎么这么难啊，别人学钢琴的同学三个月就能弹得很流畅了，而我学了这么多年都还像是在拉锯子……
14204|<O>|你一直很喜欢Beyand，很想像偶像白家驹一样弹吉他\n(想象力+40)
14205|<O>|你一直很喜欢Beyand，很想像偶像白家驹一样弹吉他
14206|<O>|获得新特长、新职业，提升家族等级并解锁奖励。（每世代结束时升级图鉴）
14207|<O>|可升级
14208|<O>|1596173204
14209|<O>|1596173205
14210|<O>|1596173206
14211|<O>|1596173207
14212|<O>|1596173208
14213|<O>|1596173209
14214|<O>|1596173210
14215|<O>|1596173211
14216|<O>|1596173212
14217|<O>|1596173213
14218|<O>|1596173214
14219|<O>|1596173215
14220|<O>|1596173216
14221|<O>|1596173217
14222|<O>|1596173218
14223|<O>|1596173219
14224|<O>|1596173220
14225|<O>|1596173221
14226|<O>|1596173222
14227|<O>|1596173223
14228|<O>|1596173224
14229|<O>|1596173225
14230|<O>|1596173226
14231|<O>|1596173227
14232|<O>|1596173228
14233|<O>|1596173229
14234|<O>|1596173230
14235|<O>|1596173231
14236|<O>|1596173232
14237|<O>|1596173233
14238|<O>|1596173234
14239|<O>|1596173235
14240|<O>|1596173236
14241|<O>|1596173237
14242|<O>|1596173238
14243|<O>|1596173239
